,Crime_Category
12406,Property Crimes
2160,Property Crimes
12262,Property Crimes
18102,Property Crimes
2632,Crimes against Public Order
6012,Violent Crimes
13457,Property Crimes
13343,Violent Crimes
13178,Violent Crimes
5160,Violent Crimes
14805,Fraud and White-Collar Crimes
11807,Violent Crimes
19131,Property Crimes
7841,Property Crimes
8750,Property Crimes
11165,Property Crimes
1736,Property Crimes
17923,Violent Crimes
4063,Property Crimes
2168,Property Crimes
19506,Violent Crimes
1408,Property Crimes
13260,Property Crimes
16025,Crimes against Public Order
15966,Property Crimes
15620,Violent Crimes
147,Property Crimes
12852,Property Crimes
46,Violent Crimes
9074,Violent Crimes
2070,Property Crimes
9261,Property Crimes
8306,Property Crimes
2640,Property Crimes
5335,Fraud and White-Collar Crimes
14296,Property Crimes
19730,Violent Crimes
6963,Violent Crimes
16242,Violent Crimes
5919,Violent Crimes
12637,Violent Crimes
18639,Property Crimes
14933,Property Crimes
2188,Property Crimes
15912,Violent Crimes
19632,Property Crimes
10238,Property Crimes
12402,Fraud and White-Collar Crimes
12478,Property Crimes
5780,Violent Crimes
1856,Violent Crimes
4116,Violent Crimes
17870,Violent Crimes
79,Property Crimes
3790,Violent Crimes
3389,Property Crimes
17566,Property Crimes
12941,Crimes against Public Order
3037,Crimes against Public Order
19376,Violent Crimes
12031,Violent Crimes
4492,Property Crimes
15072,Property Crimes
5128,Fraud and White-Collar Crimes
13616,Property Crimes
12919,Fraud and White-Collar Crimes
3886,Property Crimes
15110,Property Crimes
18642,Property Crimes
4227,Violent Crimes
4307,Violent Crimes
10788,Property Crimes
7840,Property Crimes
15015,Property Crimes
4550,Property Crimes
16145,Property Crimes
2142,Violent Crimes
17277,Property Crimes
852,Violent Crimes
944,Violent Crimes
1673,Property Crimes
19266,Violent Crimes
570,Property Crimes
19905,Property Crimes
11814,Property Crimes
14465,Crimes against Public Order
11104,Property Crimes
16707,Property Crimes
12174,Property Crimes
11367,Property Crimes
16405,Property Crimes
971,Property Crimes
889,Property Crimes
14359,Property Crimes
12724,Violent Crimes
19638,Property Crimes
4121,Property Crimes
16377,Crimes against Public Order
4951,Violent Crimes
7716,Property Crimes
4044,Property Crimes
17096,Property Crimes
14754,Violent Crimes
18059,Crimes against Public Order
19531,Property Crimes
13884,Property Crimes
7800,Property Crimes
5201,Violent Crimes
19423,Property Crimes
18840,Fraud and White-Collar Crimes
7736,Violent Crimes
2779,Property Crimes
6462,Property Crimes
17794,Property Crimes
10514,Property Crimes
7258,Violent Crimes
9264,Property Crimes
11156,Property Crimes
4831,Property Crimes
5011,Violent Crimes
11530,Fraud and White-Collar Crimes
3510,Property Crimes
2547,Violent Crimes
8736,Property Crimes
15814,Property Crimes
14064,Violent Crimes
10158,Property Crimes
13741,Property Crimes
19055,Property Crimes
16424,Crimes against Public Order
4246,Property Crimes
10918,Violent Crimes
15649,Property Crimes
11445,Property Crimes
15972,Violent Crimes
17619,Violent Crimes
8799,Fraud and White-Collar Crimes
5434,Property Crimes
13509,Violent Crimes
11486,Property Crimes
8305,Property Crimes
15171,Property Crimes
16057,Property Crimes
8896,Property Crimes
6544,Property Crimes
19705,Property Crimes
9097,Property Crimes
12189,Property Crimes
2959,Fraud and White-Collar Crimes
2508,Property Crimes
6256,Violent Crimes
11186,Property Crimes
1893,Property Crimes
17068,Violent Crimes
12635,Fraud and White-Collar Crimes
12316,Property Crimes
3671,Property Crimes
17704,Property Crimes
539,Property Crimes
9991,Property Crimes
88,Property Crimes
3331,Crimes against Public Order
11409,Property Crimes
5887,Property Crimes
1691,Violent Crimes
11167,Property Crimes
17738,Property Crimes
16853,Violent Crimes
974,Violent Crimes
18297,Crimes against Public Order
14582,Property Crimes
16653,Property Crimes
8889,Property Crimes
6243,Fraud and White-Collar Crimes
15777,Crimes against Persons
17194,Violent Crimes
13874,Property Crimes
9441,Property Crimes
17338,Fraud and White-Collar Crimes
6446,Violent Crimes
5289,Property Crimes
13963,Property Crimes
5998,Property Crimes
17035,Violent Crimes
17127,Fraud and White-Collar Crimes
9248,Violent Crimes
8111,Violent Crimes
18052,Property Crimes
9795,Property Crimes
1708,Violent Crimes
1209,Property Crimes
12922,Property Crimes
6910,Violent Crimes
2780,Property Crimes
8262,Violent Crimes
14680,Violent Crimes
3950,Property Crimes
9102,Property Crimes
16789,Violent Crimes
4754,Property Crimes
9597,Violent Crimes
15511,Other Crimes
1907,Property Crimes
9047,Violent Crimes
15254,Violent Crimes
12089,Property Crimes
132,Property Crimes
6481,Property Crimes
3494,Fraud and White-Collar Crimes
18911,Property Crimes
10297,Crimes against Public Order
7398,Violent Crimes
19504,Property Crimes
4735,Crimes against Public Order
16139,Violent Crimes
9705,Violent Crimes
7242,Violent Crimes
9822,Crimes against Public Order
5284,Property Crimes
10349,Property Crimes
1643,Property Crimes
16273,Fraud and White-Collar Crimes
3397,Property Crimes
10017,Property Crimes
1012,Property Crimes
14417,Property Crimes
13996,Property Crimes
19565,Property Crimes
2969,Property Crimes
9091,Property Crimes
5679,Property Crimes
19129,Property Crimes
1759,Property Crimes
7011,Property Crimes
18865,Property Crimes
4788,Other Crimes
8784,Violent Crimes
2172,Property Crimes
834,Property Crimes
12599,Property Crimes
13150,Property Crimes
7992,Property Crimes
17548,Property Crimes
17701,Property Crimes
15057,Property Crimes
591,Property Crimes
5825,Crimes against Persons
5681,Property Crimes
19425,Fraud and White-Collar Crimes
14435,Property Crimes
3411,Violent Crimes
6228,Property Crimes
18427,Property Crimes
11366,Property Crimes
1147,Property Crimes
14032,Violent Crimes
2739,Property Crimes
7247,Violent Crimes
4833,Violent Crimes
11377,Violent Crimes
973,Property Crimes
10516,Property Crimes
8611,Crimes against Public Order
886,Fraud and White-Collar Crimes
7497,Property Crimes
5388,Property Crimes
16838,Crimes against Public Order
19853,Property Crimes
11542,Property Crimes
12237,Property Crimes
7849,Fraud and White-Collar Crimes
8615,Property Crimes
731,Property Crimes
18480,Violent Crimes
11400,Crimes against Public Order
17138,Property Crimes
12063,Property Crimes
10406,Violent Crimes
2574,Property Crimes
2695,Property Crimes
7360,Property Crimes
10818,Crimes against Public Order
13267,Fraud and White-Collar Crimes
15748,Property Crimes
2013,Crimes against Public Order
13683,Violent Crimes
1134,Violent Crimes
1438,Property Crimes
15476,Violent Crimes
6559,Property Crimes
11378,Property Crimes
18893,Violent Crimes
9439,Violent Crimes
4471,Property Crimes
3651,Property Crimes
291,Property Crimes
16414,Property Crimes
1301,Property Crimes
19920,Violent Crimes
10958,Property Crimes
18756,Property Crimes
5719,Property Crimes
15587,Property Crimes
14482,Fraud and White-Collar Crimes
6551,Property Crimes
5689,Property Crimes
13429,Property Crimes
16140,Property Crimes
19834,Property Crimes
404,Fraud and White-Collar Crimes
16614,Property Crimes
8435,Property Crimes
4539,Property Crimes
9121,Property Crimes
6045,Crimes against Public Order
14513,Violent Crimes
17074,Crimes against Public Order
18488,Property Crimes
11144,Property Crimes
9638,Property Crimes
18449,Property Crimes
12180,Property Crimes
11203,Property Crimes
1811,Property Crimes
7236,Crimes against Public Order
1919,Property Crimes
19018,Violent Crimes
14694,Violent Crimes
10987,Property Crimes
4354,Property Crimes
12101,Crimes against Public Order
12300,Fraud and White-Collar Crimes
18220,Violent Crimes
545,Property Crimes
2732,Violent Crimes
16199,Crimes against Public Order
7758,Property Crimes
10545,Crimes against Public Order
14094,Violent Crimes
16720,Fraud and White-Collar Crimes
7004,Property Crimes
10264,Property Crimes
11588,Property Crimes
16344,Property Crimes
2716,Violent Crimes
3789,Property Crimes
19656,Property Crimes
6931,Property Crimes
19111,Crimes against Public Order
5548,Property Crimes
14611,Property Crimes
8628,Property Crimes
10968,Property Crimes
3329,Property Crimes
15026,Property Crimes
1862,Property Crimes
10357,Property Crimes
19529,Violent Crimes
18604,Property Crimes
4916,Property Crimes
12641,Violent Crimes
13124,Violent Crimes
3359,Property Crimes
8117,Crimes against Public Order
7176,Property Crimes
11660,Crimes against Public Order
13263,Violent Crimes
4549,Fraud and White-Collar Crimes
3867,Property Crimes
6300,Property Crimes
6755,Violent Crimes
16127,Crimes against Public Order
16251,Property Crimes
12272,Violent Crimes
11328,Property Crimes
19369,Fraud and White-Collar Crimes
7347,Property Crimes
3417,Crimes against Public Order
10975,Property Crimes
8553,Property Crimes
7514,Other Crimes
18580,Property Crimes
483,Property Crimes
16672,Property Crimes
3960,Other Crimes
19020,Fraud and White-Collar Crimes
924,Crimes against Public Order
14772,Property Crimes
1787,Property Crimes
3113,Property Crimes
11696,Property Crimes
19038,Violent Crimes
5036,Property Crimes
16715,Property Crimes
11577,Property Crimes
8112,Property Crimes
18583,Property Crimes
8601,Property Crimes
17791,Property Crimes
10983,Crimes against Public Order
15415,Property Crimes
9043,Violent Crimes
4641,Property Crimes
8017,Violent Crimes
19080,Crimes against Public Order
10456,Property Crimes
17242,Property Crimes
3408,Fraud and White-Collar Crimes
7241,Property Crimes
17457,Violent Crimes
9455,Violent Crimes
19091,Crimes against Public Order
19450,Property Crimes
10959,Violent Crimes
5568,Other Crimes
15892,Property Crimes
7661,Violent Crimes
568,Violent Crimes
16352,Fraud and White-Collar Crimes
18672,Violent Crimes
4229,Violent Crimes
11101,Property Crimes
11416,Property Crimes
16477,Property Crimes
16117,Crimes against Persons
10615,Property Crimes
12937,Property Crimes
3191,Fraud and White-Collar Crimes
11461,Property Crimes
12960,Property Crimes
7074,Property Crimes
4112,Violent Crimes
15352,Property Crimes
2884,Property Crimes
16736,Property Crimes
14319,Property Crimes
18805,Property Crimes
1229,Fraud and White-Collar Crimes
5183,Property Crimes
15064,Other Crimes
12854,Property Crimes
14096,Violent Crimes
6531,Property Crimes
1979,Property Crimes
19726,Property Crimes
6949,Crimes against Public Order
5505,Property Crimes
500,Property Crimes
12043,Property Crimes
18502,Fraud and White-Collar Crimes
8754,Property Crimes
2822,Violent Crimes
10217,Property Crimes
10778,Crimes against Public Order
6861,Property Crimes
15994,Violent Crimes
15416,Fraud and White-Collar Crimes
4105,Violent Crimes
17170,Property Crimes
18179,Property Crimes
9081,Property Crimes
12310,Violent Crimes
9924,Property Crimes
2419,Property Crimes
3420,Property Crimes
464,Property Crimes
15014,Property Crimes
12934,Crimes against Public Order
10322,Fraud and White-Collar Crimes
2964,Fraud and White-Collar Crimes
17502,Property Crimes
15507,Fraud and White-Collar Crimes
17993,Property Crimes
6261,Violent Crimes
8359,Property Crimes
1683,Property Crimes
7411,Crimes against Public Order
958,Property Crimes
3819,Violent Crimes
9300,Violent Crimes
16879,Property Crimes
14371,Property Crimes
4535,Property Crimes
16059,Property Crimes
12531,Property Crimes
18708,Property Crimes
17545,Property Crimes
16854,Violent Crimes
3780,Violent Crimes
12000,Property Crimes
18914,Property Crimes
10328,Property Crimes
3005,Fraud and White-Collar Crimes
17133,Property Crimes
691,Fraud and White-Collar Crimes
5014,Property Crimes
4190,Property Crimes
17756,Fraud and White-Collar Crimes
969,Property Crimes
14011,Fraud and White-Collar Crimes
412,Crimes against Public Order
13018,Violent Crimes
18402,Property Crimes
1367,Crimes against Public Order
18299,Violent Crimes
3151,Property Crimes
17032,Property Crimes
15469,Property Crimes
11885,Property Crimes
10099,Property Crimes
15102,Violent Crimes
9033,Property Crimes
19902,Property Crimes
8907,Property Crimes
13682,Violent Crimes
16721,Property Crimes
7156,Property Crimes
13234,Property Crimes
16792,Property Crimes
328,Fraud and White-Collar Crimes
1537,Fraud and White-Collar Crimes
12373,Property Crimes
338,Property Crimes
16552,Violent Crimes
3129,Violent Crimes
6457,Property Crimes
17448,Property Crimes
11152,Property Crimes
5196,Property Crimes
19477,Property Crimes
17995,Property Crimes
11785,Fraud and White-Collar Crimes
10423,Violent Crimes
14213,Violent Crimes
19501,Property Crimes
15095,Property Crimes
15571,Property Crimes
1330,Property Crimes
4399,Property Crimes
19931,Violent Crimes
12767,Fraud and White-Collar Crimes
17227,Property Crimes
11440,Violent Crimes
6829,Property Crimes
11727,Property Crimes
9835,Property Crimes
10532,Property Crimes
6594,Property Crimes
16243,Violent Crimes
5845,Property Crimes
1810,Property Crimes
2397,Crimes against Public Order
1533,Property Crimes
14368,Property Crimes
1940,Violent Crimes
6350,Violent Crimes
7404,Property Crimes
16717,Fraud and White-Collar Crimes
6152,Property Crimes
12494,Property Crimes
9325,Property Crimes
8237,Violent Crimes
9186,Property Crimes
1123,Property Crimes
19886,Property Crimes
14017,Property Crimes
8247,Property Crimes
16813,Property Crimes
12574,Property Crimes
5604,Violent Crimes
9145,Violent Crimes
15127,Property Crimes
16896,Property Crimes
13634,Property Crimes
11355,Fraud and White-Collar Crimes
9401,Property Crimes
1391,Property Crimes
13784,Violent Crimes
6605,Property Crimes
11348,Property Crimes
5744,Violent Crimes
680,Crimes against Public Order
10602,Property Crimes
4796,Crimes against Public Order
940,Property Crimes
10024,Property Crimes
5145,Property Crimes
7980,Property Crimes
18039,Property Crimes
4133,Property Crimes
14521,Property Crimes
15145,Property Crimes
17140,Property Crimes
19002,Property Crimes
15998,Property Crimes
8479,Property Crimes
19510,Property Crimes
11638,Property Crimes
6781,Violent Crimes
6827,Fraud and White-Collar Crimes
7510,Property Crimes
1130,Property Crimes
729,Violent Crimes
905,Property Crimes
16400,Violent Crimes
13098,Property Crimes
4763,Violent Crimes
14946,Violent Crimes
10076,Property Crimes
4099,Property Crimes
6810,Property Crimes
1416,Crimes against Public Order
18159,Fraud and White-Collar Crimes
5334,Crimes against Public Order
19776,Fraud and White-Collar Crimes
3506,Property Crimes
13315,Property Crimes
2810,Violent Crimes
11122,Violent Crimes
439,Crimes against Public Order
18377,Property Crimes
19422,Property Crimes
15331,Property Crimes
3195,Fraud and White-Collar Crimes
6698,Crimes against Public Order
11689,Property Crimes
384,Property Crimes
17156,Property Crimes
207,Property Crimes
1202,Property Crimes
12078,Property Crimes
7180,Property Crimes
10995,Violent Crimes
1847,Property Crimes
5498,Property Crimes
1826,Crimes against Public Order
2380,Property Crimes
97,Property Crimes
14966,Property Crimes
12399,Fraud and White-Collar Crimes
8674,Violent Crimes
15978,Crimes against Public Order
13036,Violent Crimes
8507,Violent Crimes
12878,Property Crimes
3207,Property Crimes
18326,Property Crimes
286,Property Crimes
770,Property Crimes
17843,Violent Crimes
7418,Property Crimes
989,Property Crimes
16113,Property Crimes
7008,Property Crimes
17029,Fraud and White-Collar Crimes
16171,Property Crimes
5400,Violent Crimes
17589,Violent Crimes
3999,Property Crimes
9194,Property Crimes
18435,Violent Crimes
6630,Property Crimes
4331,Property Crimes
3229,Crimes against Public Order
3128,Crimes against Public Order
4775,Property Crimes
10277,Crimes against Public Order
7901,Crimes against Public Order
17300,Property Crimes
12766,Property Crimes
10552,Crimes against Public Order
17584,Property Crimes
1203,Property Crimes
4016,Property Crimes
16501,Property Crimes
13788,Violent Crimes
10895,Property Crimes
16538,Property Crimes
10097,Property Crimes
17463,Crimes against Persons
7858,Violent Crimes
5224,Property Crimes
19548,Violent Crimes
16898,Property Crimes
9421,Property Crimes
4045,Property Crimes
14585,Property Crimes
9407,Crimes against Public Order
9396,Property Crimes
7280,Crimes against Public Order
17500,Crimes against Public Order
3587,Crimes against Persons
13313,Violent Crimes
11149,Violent Crimes
10143,Violent Crimes
9965,Property Crimes
1125,Crimes against Public Order
10487,Crimes against Public Order
18913,Property Crimes
16605,Property Crimes
15202,Crimes against Public Order
11361,Property Crimes
19219,Crimes against Persons
5495,Property Crimes
9163,Fraud and White-Collar Crimes
16426,Crimes against Persons
16241,Property Crimes
15817,Crimes against Public Order
7272,Violent Crimes
10135,Property Crimes
14486,Property Crimes
18507,Violent Crimes
14143,Property Crimes
1238,Property Crimes
5447,Violent Crimes
15375,Property Crimes
3974,Fraud and White-Collar Crimes
273,Property Crimes
9857,Property Crimes
12324,Property Crimes
10900,Violent Crimes
7130,Crimes against Public Order
12783,Violent Crimes
7218,Property Crimes
7731,Fraud and White-Collar Crimes
10515,Fraud and White-Collar Crimes
4436,Property Crimes
7311,Property Crimes
14517,Property Crimes
11916,Property Crimes
7897,Violent Crimes
16297,Property Crimes
7349,Violent Crimes
1748,Property Crimes
16366,Fraud and White-Collar Crimes
3266,Property Crimes
9003,Property Crimes
15840,Property Crimes
16154,Violent Crimes
6205,Property Crimes
5258,Violent Crimes
77,Fraud and White-Collar Crimes
19720,Violent Crimes
2025,Violent Crimes
19611,Property Crimes
11892,Property Crimes
13197,Property Crimes
2681,Property Crimes
14051,Property Crimes
5983,Property Crimes
13454,Violent Crimes
16828,Property Crimes
2643,Other Crimes
13152,Property Crimes
4949,Crimes against Public Order
6612,Crimes against Public Order
18698,Violent Crimes
8048,Property Crimes
8393,Violent Crimes
3370,Property Crimes
6707,Property Crimes
4143,Property Crimes
12723,Property Crimes
5309,Property Crimes
5816,Property Crimes
19854,Property Crimes
8016,Crimes against Public Order
13879,Property Crimes
5576,Property Crimes
865,Violent Crimes
6695,Property Crimes
17517,Violent Crimes
133,Property Crimes
7965,Property Crimes
7220,Violent Crimes
1306,Property Crimes
4780,Fraud and White-Collar Crimes
2743,Property Crimes
8267,Property Crimes
19823,Property Crimes
11370,Violent Crimes
9027,Violent Crimes
16192,Fraud and White-Collar Crimes
12563,Property Crimes
19973,Property Crimes
4421,Fraud and White-Collar Crimes
17408,Violent Crimes
5136,Property Crimes
6231,Property Crimes
5269,Crimes against Public Order
11333,Crimes against Public Order
16083,Property Crimes
18247,Crimes against Public Order
13673,Crimes against Public Order
17216,Property Crimes
6320,Crimes against Public Order
13857,Property Crimes
7525,Property Crimes
8681,Violent Crimes
1413,Crimes against Public Order
174,Property Crimes
4562,Property Crimes
8415,Violent Crimes
6538,Violent Crimes
8888,Property Crimes
444,Property Crimes
13602,Property Crimes
19478,Crimes against Public Order
2567,Property Crimes
12306,Fraud and White-Collar Crimes
10536,Property Crimes
9798,Property Crimes
2430,Fraud and White-Collar Crimes
1244,Fraud and White-Collar Crimes
2247,Violent Crimes
2756,Crimes against Public Order
4507,Property Crimes
3183,Violent Crimes
2461,Violent Crimes
15828,Property Crimes
14654,Violent Crimes
12942,Violent Crimes
1680,Crimes against Public Order
9450,Fraud and White-Collar Crimes
11074,Violent Crimes
8932,Property Crimes
11283,Property Crimes
6550,Property Crimes
9509,Violent Crimes
4134,Property Crimes
3007,Fraud and White-Collar Crimes
12762,Violent Crimes
14365,Property Crimes
12082,Crimes against Public Order
2616,Violent Crimes
10118,Violent Crimes
12674,Property Crimes
6950,Property Crimes
7459,Property Crimes
7538,Property Crimes
3881,Fraud and White-Collar Crimes
1501,Crimes against Public Order
4672,Property Crimes
3572,Property Crimes
18747,Fraud and White-Collar Crimes
5695,Property Crimes
10489,Violent Crimes
856,Property Crimes
4792,Property Crimes
8380,Property Crimes
7666,Fraud and White-Collar Crimes
4880,Fraud and White-Collar Crimes
8675,Property Crimes
15654,Property Crimes
17022,Property Crimes
2659,Property Crimes
7354,Property Crimes
19272,Crimes against Public Order
1006,Violent Crimes
2911,Property Crimes
14849,Violent Crimes
13140,Crimes against Public Order
11954,Violent Crimes
12557,Property Crimes
10780,Property Crimes
3398,Violent Crimes
16899,Property Crimes
479,Property Crimes
1742,Property Crimes
17010,Violent Crimes
6041,Property Crimes
11653,Property Crimes
8223,Violent Crimes
13342,Property Crimes
16351,Violent Crimes
4784,Violent Crimes
1489,Violent Crimes
10885,Property Crimes
14976,Violent Crimes
12979,Property Crimes
3684,Property Crimes
15452,Violent Crimes
11708,Crimes against Public Order
9000,Violent Crimes
47,Property Crimes
15378,Property Crimes
19923,Property Crimes
9476,Property Crimes
19394,Other Crimes
8590,Violent Crimes
17052,Property Crimes
4867,Violent Crimes
10330,Violent Crimes
15543,Crimes against Public Order
12301,Property Crimes
9212,Crimes against Public Order
2293,Property Crimes
13139,Violent Crimes
8860,Crimes against Public Order
19211,Property Crimes
891,Crimes against Public Order
15918,Property Crimes
11874,Crimes against Public Order
7799,Property Crimes
8103,Fraud and White-Collar Crimes
6398,Property Crimes
3364,Property Crimes
19681,Property Crimes
13940,Property Crimes
6821,Crimes against Public Order
2972,Violent Crimes
1279,Property Crimes
4334,Property Crimes
877,Property Crimes
5344,Property Crimes
1069,Property Crimes
1420,Property Crimes
1032,Property Crimes
17069,Property Crimes
6729,Property Crimes
13452,Violent Crimes
16798,Violent Crimes
5325,Property Crimes
1460,Property Crimes
3985,Crimes against Public Order
12401,Crimes against Public Order
12787,Crimes against Public Order
1560,Violent Crimes
462,Property Crimes
4996,Violent Crimes
8272,Property Crimes
6784,Property Crimes
12114,Violent Crimes
11560,Property Crimes
6264,Crimes against Public Order
17012,Violent Crimes
5016,Violent Crimes
16676,Property Crimes
1247,Violent Crimes
16120,Property Crimes
3106,Violent Crimes
16180,Violent Crimes
18041,Violent Crimes
19483,Violent Crimes
16868,Violent Crimes
1172,Violent Crimes
19424,Property Crimes
18294,Violent Crimes
1918,Violent Crimes
2588,Violent Crimes
9272,Violent Crimes
16398,Fraud and White-Collar Crimes
5340,Property Crimes
3604,Fraud and White-Collar Crimes
11300,Property Crimes
3142,Property Crimes
15932,Property Crimes
15329,Violent Crimes
8127,Property Crimes
19627,Property Crimes
15156,Violent Crimes
10066,Other Crimes
13104,Property Crimes
19633,Property Crimes
14259,Property Crimes
16453,Property Crimes
8863,Violent Crimes
17951,Crimes against Public Order
15868,Fraud and White-Collar Crimes
4703,Other Crimes
308,Crimes against Public Order
18057,Property Crimes
5843,Property Crimes
718,Crimes against Public Order
160,Violent Crimes
6011,Other Crimes
15065,Property Crimes
16594,Violent Crimes
3751,Violent Crimes
19762,Property Crimes
3339,Property Crimes
830,Property Crimes
17298,Violent Crimes
18832,Violent Crimes
2318,Property Crimes
4401,Property Crimes
17104,Property Crimes
17846,Property Crimes
18120,Property Crimes
19907,Crimes against Public Order
16811,Property Crimes
6285,Property Crimes
5652,Property Crimes
16599,Crimes against Public Order
14431,Property Crimes
14773,Crimes against Public Order
4981,Property Crimes
9744,Property Crimes
16543,Property Crimes
11147,Violent Crimes
16011,Property Crimes
8277,Violent Crimes
1428,Property Crimes
10822,Fraud and White-Collar Crimes
2386,Violent Crimes
4817,Property Crimes
2698,Violent Crimes
8202,Crimes against Public Order
16600,Violent Crimes
11744,Property Crimes
16471,Violent Crimes
15208,Property Crimes
13214,Property Crimes
15080,Crimes against Public Order
1834,Violent Crimes
11972,Violent Crimes
6317,Property Crimes
17932,Violent Crimes
13650,Property Crimes
826,Property Crimes
16995,Property Crimes
6145,Violent Crimes
8317,Property Crimes
7506,Crimes against Public Order
2830,Property Crimes
17914,Property Crimes
2241,Violent Crimes
10572,Property Crimes
7420,Property Crimes
8072,Property Crimes
10879,Property Crimes
7320,Property Crimes
9148,Property Crimes
6167,Property Crimes
8420,Crimes against Public Order
7562,Crimes against Public Order
6835,Violent Crimes
19136,Property Crimes
15447,Property Crimes
15501,Violent Crimes
2740,Property Crimes
19227,Property Crimes
14004,Property Crimes
7044,Violent Crimes
4521,Property Crimes
17858,Property Crimes
17415,Property Crimes
15851,Violent Crimes
3556,Property Crimes
8886,Violent Crimes
9942,Property Crimes
6945,Property Crimes
5536,Property Crimes
13493,Property Crimes
11739,Property Crimes
17862,Property Crimes
11622,Property Crimes
12198,Property Crimes
1600,Property Crimes
10806,Crimes against Public Order
13530,Violent Crimes
8849,Property Crimes
2154,Property Crimes
11978,Violent Crimes
17211,Property Crimes
13221,Property Crimes
15401,Property Crimes
217,Violent Crimes
6452,Other Crimes
18219,Property Crimes
13526,Violent Crimes
6893,Violent Crimes
8062,Crimes against Persons
614,Violent Crimes
10020,Violent Crimes
10864,Fraud and White-Collar Crimes
6276,Property Crimes
916,Property Crimes
8031,Property Crimes
3202,Property Crimes
2826,Property Crimes
10647,Property Crimes
17047,Violent Crimes
1504,Property Crimes
13169,Violent Crimes
3815,Property Crimes
860,Violent Crimes
2548,Fraud and White-Collar Crimes
13319,Violent Crimes
17693,Violent Crimes
8212,Property Crimes
13417,Property Crimes
2321,Violent Crimes
5360,Property Crimes
17391,Property Crimes
16372,Property Crimes
19608,Violent Crimes
4080,Property Crimes
13523,Property Crimes
4477,Fraud and White-Collar Crimes
12619,Property Crimes
3591,Property Crimes
8056,Violent Crimes
13822,Property Crimes
19556,Property Crimes
8547,Violent Crimes
3460,Fraud and White-Collar Crimes
1295,Crimes against Public Order
114,Property Crimes
4364,Property Crimes
1271,Violent Crimes
4146,Violent Crimes
3763,Property Crimes
3869,Violent Crimes
16105,Violent Crimes
15425,Crimes against Public Order
5968,Fraud and White-Collar Crimes
8595,Property Crimes
17286,Property Crimes
12597,Crimes against Public Order
11593,Property Crimes
7983,Property Crimes
10816,Violent Crimes
222,Property Crimes
10373,Property Crimes
983,Property Crimes
6324,Property Crimes
16778,Property Crimes
3686,Property Crimes
17269,Violent Crimes
19010,Crimes against Public Order
13703,Violent Crimes
4642,Property Crimes
7054,Property Crimes
8759,Violent Crimes
15964,Property Crimes
5438,Property Crimes
4494,Property Crimes
16922,Property Crimes
15174,Property Crimes
1618,Property Crimes
5844,Violent Crimes
19142,Property Crimes
19909,Violent Crimes
10419,Fraud and White-Collar Crimes
5779,Violent Crimes
4473,Violent Crimes
14475,Property Crimes
5279,Violent Crimes
14588,Crimes against Public Order
6471,Property Crimes
13004,Violent Crimes
12859,Fraud and White-Collar Crimes
4472,Property Crimes
422,Property Crimes
12099,Other Crimes
3911,Crimes against Public Order
16008,Property Crimes
15616,Crimes against Public Order
6092,Violent Crimes
10781,Violent Crimes
6271,Violent Crimes
12209,Property Crimes
4757,Property Crimes
1762,Property Crimes
2764,Property Crimes
11090,Property Crimes
3788,Fraud and White-Collar Crimes
14763,Violent Crimes
5173,Property Crimes
6683,Violent Crimes
15636,Property Crimes
2340,Property Crimes
17848,Property Crimes
15904,Fraud and White-Collar Crimes
11740,Violent Crimes
5161,Property Crimes
18538,Violent Crimes
2532,Fraud and White-Collar Crimes
11565,Property Crimes
11980,Property Crimes
4657,Property Crimes
7788,Violent Crimes
17759,Violent Crimes
6201,Property Crimes
13308,Property Crimes
7629,Property Crimes
8898,Property Crimes
14523,Violent Crimes
1444,Crimes against Public Order
6291,Property Crimes
6603,Fraud and White-Collar Crimes
11579,Property Crimes
11922,Property Crimes
2387,Property Crimes
8866,Property Crimes
14658,Property Crimes
11120,Violent Crimes
15523,Property Crimes
8022,Violent Crimes
1364,Crimes against Public Order
685,Property Crimes
13121,Crimes against Public Order
1674,Property Crimes
442,Property Crimes
10856,Crimes against Persons
8973,Property Crimes
4619,Property Crimes
9765,Violent Crimes
17865,Violent Crimes
17950,Property Crimes
10059,Property Crimes
8302,Property Crimes
9359,Property Crimes
6407,Property Crimes
2718,Property Crimes
16037,Property Crimes
18213,Violent Crimes
10218,Property Crimes
1921,Property Crimes
17763,Violent Crimes
11805,Property Crimes
202,Property Crimes
13760,Property Crimes
17189,Property Crimes
17078,Property Crimes
18446,Fraud and White-Collar Crimes
7177,Property Crimes
18982,Property Crimes
10740,Property Crimes
138,Property Crimes
5198,Property Crimes
3179,Property Crimes
4005,Property Crimes
17982,Violent Crimes
17873,Property Crimes
12524,Crimes against Public Order
15581,Property Crimes
8613,Crimes against Persons
19704,Property Crimes
446,Property Crimes
2868,Property Crimes
1121,Property Crimes
11336,Crimes against Public Order
10465,Property Crimes
7037,Property Crimes
2178,Crimes against Public Order
8660,Property Crimes
10366,Property Crimes
15795,Property Crimes
14573,Property Crimes
1654,Property Crimes
7071,Property Crimes
19277,Property Crimes
5239,Violent Crimes
12952,Crimes against Public Order
8587,Fraud and White-Collar Crimes
11230,Property Crimes
3108,Property Crimes
43,Property Crimes
6517,Property Crimes
8825,Property Crimes
18636,Property Crimes
7544,Property Crimes
270,Property Crimes
12318,Violent Crimes
6525,Property Crimes
15108,Violent Crimes
1911,Property Crimes
3589,Violent Crimes
4605,Property Crimes
